trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
284,False,"{'a': 0.8, 'e': 0.01433573367901149}",20,13,12.841380987975029,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.8, 'e': 0.014122302410163962}",20,11,19.10669699244286,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.8, 'e': 0.013912048718937631}",25,14,9.758314586107026,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
287,False,"{'a': 0.8, 'e': 0.013704925297364945}",30,12,37.32627687360509,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.8, 'e': 0.013500885541802265}",30,17,22.226738128232526,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.8, 'e': 0.013299883542443767}",25,17,18.011947667583133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.8, 'e': 0.013101874072991637}",20,16,7.987552005608532,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.8, 'e': 0.012906812580479873}",20,12,14.833608223143237,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.8, 'e': 0.012714655175249731}",20,13,14.339169004825525,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.8, 'e': 0.012525358621074385}",20,8,22.26071680481669,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.8, 'e': 0.012338880325430533}",25,15,19.091339782730046,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.8, 'e': 0.012155178329914935}",25,11,24.974281902555916,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.8, 'e': 0.011974211300803622}",25,17,14.04111507214344,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.8, 'e': 0.011795938519751572}",20,9,19.121402862185505,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.8, 'e': 0.011620319874630945}",20,10,22.689810770709496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.8, 'e': 0.01144731585050571}",20,13,14.28894077419899,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.8, 'e': 0.011276887520740568}",30,20,18.658184039792204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.8, 'e': 0.011108996538242306}",20,11,17.670426789406736,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
