,Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Market_Cap,Holiday,Weekend,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,wd_7,season_1,season_2,season_3,season_4,N_tran,Diff,Block_Size,Mi_rev,Cost_tran
589,2017-04-29,1317.84,1327.2,1315.21,1321.79,422705984.0,21547126640,0,1,0,0,0,0,0,1,0,0,1,0,0,305271.0,521974519553.0,0.996674536765,2501502.23129,8.50262129962
590,2017-04-28,1317.74,1331.28,1292.37,1316.48,527488992.0,21457669552,0,0,0,0,0,0,1,0,0,0,1,0,0,297884.0,521839702599.0,0.9676179795919999,2725014.34977,9.457037685
591,2017-04-27,1281.88,1319.7,1281.3,1317.73,449196992.0,21475836448,0,0,0,0,0,1,0,0,0,0,1,0,0,334471.0,520808749422.0,0.971854882353,2740621.52331,8.47900685278
592,2017-04-26,1265.99,1294.83,1265.93,1281.08,329631008.0,20876159410,0,0,0,0,1,0,0,0,0,0,1,0,0,325387.0,520808749422.0,0.966010324324,2615123.62125,8.342193255689999
593,2017-04-25,1250.45,1267.58,1249.97,1265.49,242556000.0,20619704237,0,0,0,1,0,0,0,0,0,0,1,0,0,222671.0,520808749422.0,0.9630899032260001,2119150.85645,9.85703683643
594,2017-04-24,1209.63,1250.94,1209.63,1250.15,235806000.0,20367443800,0,0,1,0,0,0,0,0,0,0,1,0,0,245039.0,520808749422.0,0.947631065359,2732614.9,11.520657048299999
595,2017-04-23,1231.92,1232.2,1203.94,1207.21,258951008.0,19665994145,0,1,0,0,0,0,0,0,1,0,1,0,0,268712.0,520808749422.0,0.973032510345,2596344.05,9.994905943060001
596,2017-04-22,1222.71,1235.56,1208.47,1231.71,249320000.0,20062753908,0,1,0,0,0,0,0,1,0,0,1,0,0,330354.0,520808749422.0,0.9759393233529999,2983037.75,9.35638425136
597,2017-04-21,1229.42,1235.94,1215.56,1222.05,272167008.0,19903192286,0,0,0,0,0,0,1,0,0,0,1,0,0,269625.0,520808749422.0,0.974164381295,2456659.0,9.4421464126
598,2017-04-20,1211.08,1240.79,1208.41,1229.08,315108000.0,20015137622,0,0,0,0,0,1,0,0,0,0,1,0,0,310104.0,520808749422.0,0.984213174825,2444373.75,8.16253486916
599,2017-04-19,1212.13,1215.51,1205.08,1210.29,288060992.0,19707045565,1,0,0,0,1,0,0,0,0,0,1,0,0,303091.0,520808749422.0,0.9555397876710001,2500974.8,8.55355069115
600,2017-04-18,1193.77,1217.57,1193.77,1211.67,270524000.0,19727334977,0,0,0,1,0,0,0,0,0,0,1,0,0,245184.0,520808749422.0,0.9307864855069999,2278752.4,9.63652604719
601,2017-04-17,1183.25,1194.9,1172.65,1193.91,253206000.0,19436033390,1,0,1,0,0,0,0,0,0,0,1,0,0,211829.0,520808749422.0,0.927419253425,2320594.4,11.3667456451
602,2017-04-16,1172.61,1187.22,1172.61,1182.94,183231008.0,19255408766,1,1,0,0,0,0,0,0,1,0,1,0,0,271976.0,520808749422.0,0.9917443973510001,2416965.0,9.20635177223
603,2017-04-15,1167.3,1188.0,1164.96,1172.52,203559008.0,19083656460,0,1,0,0,0,0,0,1,0,0,1,0,0,290208.0,520808749422.0,0.9951093669059999,2292003.0,8.19901334621
604,2017-04-14,1170.33,1190.8,1159.79,1167.54,254827008.0,19000400018,1,0,0,0,0,0,1,0,0,0,1,0,0,228679.0,517807877352.0,0.9729802992129999,2072006.75,9.38142880835
605,2017-04-13,1201.02,1205.89,1156.44,1169.28,351968992.0,19026699552,1,0,0,0,0,1,0,0,0,0,1,0,0,278093.0,499635929816.0,0.982567295775,2357939.5,8.79843869512
606,2017-04-12,1204.81,1207.14,1196.76,1200.37,288702016.0,19530680104,0,0,0,0,1,0,0,0,0,0,1,0,0,307893.0,499635929816.0,0.962831892216,2769337.4,9.309705848130001
607,2017-04-11,1187.46,1208.07,1187.46,1205.01,216182000.0,19604036563,0,0,0,1,0,0,0,0,0,0,1,0,0,275496.0,499635929816.0,0.9181101621619999,2406320.7,9.03271518053
608,2017-04-10,1187.3,1190.34,1179.04,1187.13,215883008.0,19310642460,0,0,1,0,0,0,0,0,0,0,1,0,0,238286.0,499635929816.0,0.925461893082,2532236.55,11.0208677494
609,2017-04-09,1176.57,1197.21,1171.86,1187.87,242343008.0,19320511927,0,1,0,0,0,0,0,0,1,0,1,0,0,226959.0,499635929816.0,0.9744294963500001,2143895.6,9.8356844496
610,2017-04-08,1172.65,1184.98,1162.58,1175.95,209312000.0,19124327856,0,1,0,0,0,0,0,1,0,0,1,0,0,295463.0,499635929816.0,0.977586104938,2599338.0,9.09310225181
611,2017-04-07,1178.94,1186.58,1163.39,1176.9,317022016.0,19137747435,0,0,0,0,0,0,1,0,0,0,1,0,0,290465.0,499635929816.0,0.977744884354,2391592.35,8.51364887593
612,2017-04-06,1125.81,1188.37,1125.81,1182.68,511222016.0,19229356147,0,0,0,0,0,1,0,0,0,0,1,0,0,316555.0,499635929816.0,0.9668584444439999,2485786.8,8.11568718186
613,2017-04-05,1134.14,1135.09,1113.63,1124.78,414784000.0,18285857775,1,0,0,0,1,0,0,0,0,0,1,0,0,256015.0,499635929816.0,0.9778614240000001,1939250.2,7.852275704839999
614,2017-04-04,1145.52,1156.44,1120.52,1133.25,436310016.0,18421262063,0,0,0,1,0,0,0,0,0,0,1,0,0,288141.0,499635929816.0,0.8782873409090001,2669294.6,9.592874471830001
615,2017-04-03,1102.95,1151.74,1102.95,1143.81,580444032.0,18591158323,0,0,1,0,0,0,0,0,0,0,1,0,0,244203.0,499635929816.0,0.824273556962,2296746.6,9.76160537531
616,2017-04-02,1080.61,1107.59,1075.45,1102.17,514187008.0,17911915755,0,1,0,0,0,0,0,0,1,0,1,0,0,255871.0,499635929816.0,0.967154984848,1942180.5,7.8446591862899995
617,2017-04-01,1071.71,1091.72,1061.09,1080.5,289633984.0,17557597716,0,1,0,0,0,0,0,1,0,0,1,0,0,259403.0,499635929816.0,0.9605278296299999,1987418.5,7.937702896619999
618,2017-03-31,1026.64,1074.92,1026.64,1071.79,447287008.0,17414322808,0,0,0,0,0,0,1,0,0,0,1,0,0,288788.0,482855238677.0,0.962550097561,2262000.0,8.115090191810001
619,2017-03-30,1042.21,1049.29,1020.04,1026.43,352968992.0,16675587066,0,0,0,0,0,1,0,0,0,0,1,0,0,283931.0,475705205061.0,0.9731703913040001,1943117.0,7.092248070449999
620,2017-03-29,1046.08,1055.13,1015.88,1039.97,298457984.0,16893415156,0,0,0,0,1,0,0,0,0,0,1,0,0,294001.0,475705205061.0,0.985683722581,2192722.65,7.71489610854
621,2017-03-28,1044.58,1064.65,1027.73,1047.15,326332000.0,17008241726,0,0,0,1,0,0,0,0,0,0,1,0,0,232291.0,475705205061.0,0.9009502575759999,1848434.4,8.21038915564
622,2017-03-27,972.05,1046.4,971.98,1045.77,372535008.0,16983801541,0,0,1,0,0,0,0,0,0,0,1,0,0,221915.0,475705205061.0,0.6767430843369999,2046573.52,9.55510503507
623,2017-03-26,974.02,1007.96,954.19,966.72,303668000.0,15698465531,0,1,0,0,0,0,0,0,1,0,1,0,0,242975.0,475705205061.0,0.9399249323309999,1696707.27,7.27084077996
